Level 1,Level 2,Level 3,Result Folder,Result File,IoU,Chamfer Distance
buis_rond,rond_S_30,sdf.obj,voxelData_schijf_links_4,2.obj,-1,0.08059399932569372
buis_rond,rond_S_30,gt.obj,voxelData_schijf_links_4,1.obj,-1,0.07786284955501173
buis_rond,rond_S_30,gt.obj,voxelData_schijf_links_4,0.obj,-1,0.07509667837209791
buis_rond,rond_S_30,gt.obj,voxelData_schijf_links_4,2.obj,-1,0.07728745468471543
buis_rond,rond_S_60,sdf.obj,voxelData_schijf_links_4,1.obj,-1,0.1264349076869552
buis_rond,rond_S_60,sdf.obj,voxelData_schijf_links_4,0.obj,-1,0.1309400292472828
buis_rond,rond_S_60,sdf.obj,voxelData_schijf_links_4,2.obj,-1,0.1317038565633411
buis_rond,rond_S_60,gt.obj,voxelData_schijf_links_4,1.obj,-1,0.12271859724854756
buis_rond,rond_S_60,gt.obj,voxelData_schijf_links_4,0.obj,-1,0.12358639432664867
buis_rond,rond_S_60,gt.obj,voxelData_schijf_links_4,2.obj,-1,0.12628678678073
buis_rond,rond_bocht_60,sdf.obj,voxelData_schijf_links_4,1.obj,-1,0.12621856607980447
buis_rond,rond_bocht_60,sdf.obj,voxelData_schijf_links_4,0.obj,-1,0.14296689129714713
buis_rond,rond_bocht_60,sdf.obj,voxelData_schijf_links_4,2.obj,-1,0.1297872842265076
buis_rond,rond_bocht_60,gt.obj,voxelData_schijf_links_4,1.obj,-1,0.1176961915020785
buis_rond,rond_bocht_60,gt.obj,voxelData_schijf_links_4,0.obj,-1,0.13881297341699902
buis_rond,rond_bocht_60,gt.obj,voxelData_schijf_links_4,2.obj,-1,0.12270669894501054
buis_rond,rond_bocht_60+90,sdf.obj,voxelData_schijf_links_4,1.obj,-1,0.06486484445525977
buis_rond,rond_bocht_60+90,sdf.obj,voxelData_schijf_links_4,0.obj,-1,0.06732432817073487
buis_rond,rond_bocht_60+90,sdf.obj,voxelData_schijf_links_4,2.obj,-1,0.06521226783635693
buis_rond,rond_bocht_60+90,gt.obj,voxelData_schijf_links_4,1.obj,-1,0.062477812499356
buis_rond,rond_bocht_60+90,gt.obj,voxelData_schijf_links_4,0.obj,-1,0.061152391092028996
buis_rond,rond_bocht_60+90,gt.obj,voxelData_schijf_links_4,2.obj,-1,0.0620230696891961
buis_rond,rond_varsmal,sdf.obj,voxelData_schijf_links_4,1.obj,-1,0.18870507128146474
buis_rond,rond_varsmal,sdf.obj,voxelData_schijf_links_4,0.obj,-1,0.19057744745295835
buis_rond,rond_varsmal,sdf.obj,voxelData_schijf_links_4,2.obj,-1,0.17122793150599588
buis_rond,rond_varsmal,gt.obj,voxelData_schijf_links_4,1.obj,-1,0.1738899855348107
buis_rond,rond_varsmal,gt.obj,voxelData_schijf_links_4,0.obj,-1,0.17778379560796448
buis_rond,rond_varsmal,gt.obj,voxelData_schijf_links_4,2.obj,-1,0.15481720025665865
buis_rond,rond_bocht_45+60,sdf.obj,voxelData_schijf_links_4,1.obj,-1,0.13356085775888202
buis_rond,rond_bocht_45+60,sdf.obj,voxelData_schijf_links_4,0.obj,-1,0.13082071335614082
buis_rond,rond_bocht_45+60,sdf.obj,voxelData_schijf_links_4,2.obj,-1,0.13351646549588247
buis_rond,rond_bocht_45+60,gt.obj,voxelData_schijf_links_4,1.obj,-1,0.12228088595612135
buis_rond,rond_bocht_45+60,gt.obj,voxelData_schijf_links_4,0.obj,-1,0.12180760444802927
buis_rond,rond_bocht_45+60,gt.obj,voxelData_schijf_links_4,2.obj,-1,0.12087167019650885
buis_rond,rond_bocht_90,sdf.obj,voxelData_schijf_links_4,1.obj,-1,0.16661935663105215
buis_rond,rond_bocht_90,sdf.obj,voxelData_schijf_links_4,0.obj,-1,0.1645582660918612
buis_rond,rond_bocht_90,sdf.obj,voxelData_schijf_links_4,2.obj,-1,0.1630930025071068
buis_rond,rond_bocht_90,gt.obj,voxelData_schijf_links_4,1.obj,-1,0.15090781097954198
buis_rond,rond_bocht_90,gt.obj,voxelData_schijf_links_4,0.obj,-1,0.14846345102964395
buis_rond,rond_bocht_90,gt.obj,voxelData_schijf_links_4,2.obj,-1,0.148829112827663
